Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Tim Dwyer,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,5.0,0.0,4.0,2.0,14.0,25.0,-1.0,3.0,16.0,4.0,-1.0,5.0,-1.0,-1.0
Tarik Crnovrsanin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,7.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,12.0,8.0
Torsten Möller,10.0,2.0,0.0,6.0,1.0,9.0,11.0,19.0,28.0,-1.0,4.0,23.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Nathalie Henry Riche,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,12.0,24.0,0.0,4.0,2.0,14.0,25.0,-1.0,6.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0
Shixia Liu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,5.0,4.0,0.0,6.0,23.0,7.0,-1.0,-1.0,-1.0,-1.0
Tamara Munzner,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,21.0,2.0,11.0,-1.0,0.0,0.0,5.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Wenwen Dou,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,19.0,3.0,3.0,3.0,19.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kwan-Liu Ma,4.0,4.0,5.0,4.0,5.0,12.0,20.0,-1.0,5.0,7.0,23.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,12.0,-1.0
Christopher Collins 0001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,3.0,0.0,20.0,8.0,-1.0,6.0,6.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tobias Günther,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,10.0,19.0,25.0,18.0,19.0,25.0,-1.0,-1.0
Huamin Qu,6.0,11.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,2.0,-1.0,-1.0
Panpan Xu,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,4.0,0.0,-1.0,3.0,8.0,6.0,2.0,5.0,-1.0
Steven Mark Drucker,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,14.0,2.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0,15.0,0.0,-1.0,-1.0
Anders Ynnerman,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,24.0,-1.0,-1.0,17.0,24.0,19.0,5.0,15.0,-1.0,-1.0
Jarke J. van Wijk,9.0,10.0,2.0,7.0,3.0,11.0,2.0,-1.0,-1.0,17.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Xavier Tricoche,-1.0,-1.0,6.0,11.0,4.0,3.0,17.0,7.0,11.0,13.0,9.0,18.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ross T. Whitaker,-1.0,-1.0,-1.0,1.0,10.0,15.0,-1.0,-1.0,16.0,2.0,11.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Melanie Tory,-1.0,-1.0,-1.0,-1.0,1.0,9.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,5.0,17.0,9.0,-1.0,7.0,-1.0
Nan Cao,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,4.0,20.0,6.0,0.0,6.0,1.0,13.0,-1.0,-1.0,-1.0,-1.0
Aidan Slingsby,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,12.0,10.0,2.0,12.0,17.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
David Gotz,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,17.0,2.0,17.0,24.0,2.0,4.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,15.0,-1.0
